,ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
448,1810.0,15764.0,1.0,1.0,1.0,1.0
449,1812.0,15764.0,0.0,0.0,1.0,1.0
450,1821.0,15764.0,1.0,1.0,1.0,1.0
451,1822.0,15764.0,1.0,1.0,1.0,1.0
452,1824.0,15764.0,1.0,1.0,1.0,1.0
453,1826.0,15764.0,1.0,1.0,1.0,1.0
454,1827.0,15764.0,1.0,1.0,1.0,1.0
455,1830.0,15764.0,1.0,1.0,1.0,1.0
456,1831.0,15764.0,1.0,1.0,1.0,1.0
457,1832.0,15764.0,1.0,1.0,1.0,1.0
458,1833.0,15764.0,1.0,1.0,1.0,1.0
459,1834.0,15764.0,1.0,1.0,1.0,1.0
460,1835.0,15764.0,1.0,1.0,1.0,1.0
461,1840.0,15764.0,1.0,1.0,1.0,1.0
462,1841.0,15764.0,1.0,1.0,1.0,1.0
463,1842.0,15764.0,1.0,1.0,1.0,1.0
464,1843.0,15764.0,1.0,1.0,1.0,1.0
465,1844.0,15764.0,1.0,1.0,1.0,1.0
466,1845.0,15764.0,1.0,1.0,1.0,1.0
467,1850.0,15764.0,1.0,1.0,1.0,1.0
468,1851.0,15764.0,1.0,1.0,1.0,1.0
469,1852.0,15764.0,1.0,1.0,1.0,1.0
470,1853.0,15764.0,1.0,1.0,1.0,1.0
471,1854.0,15764.0,1.0,1.0,1.0,1.0
472,1860.0,15764.0,1.0,1.0,1.0,1.0
473,1862.0,15764.0,1.0,1.0,1.0,1.0
474,1863.0,15764.0,1.0,1.0,1.0,1.0
475,1864.0,15764.0,1.0,1.0,1.0,1.0
476,1865.0,15764.0,1.0,1.0,1.0,1.0
477,1866.0,15764.0,0.0,0.0,1.0,1.0
478,1867.0,15764.0,1.0,1.0,1.0,1.0
479,1876.0,15764.0,1.0,1.0,1.0,1.0
480,1879.0,15764.0,1.0,1.0,1.0,1.0
481,1880.0,15764.0,1.0,1.0,1.0,1.0
482,1885.0,15764.0,0.0,0.0,1.0,1.0
