ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
02359,14454,1,1,1,1
02360,12700,0.000164285,0,0,0.000146821
02360,14454,0.999835715,1,1,0.999853179
02361,14454,1,1,1,1
02362,14454,1,1,1,1
02364,14454,1,1,1,1
02366,14454,0,0,1,1
02367,14454,1,1,1,1
02368,14454,1,1,1,1
02370,14454,1,1,1,1
02375,14454,0,0.003957784,0,0.000518941
02375,39300,1,0.996042216,1,0.999481059
02379,14454,1,1,1,1
02381,14454,0,0,1,1
02382,14454,1,1,1,1
02420,15764,1,1,1,1
02421,15764,1,1,1,1
02445,14454,1,1,1,1
02446,14454,1,1,1,1
02447,14454,1,1,1,1
02451,15764,1,1,1,1
02452,15764,1,1,1,1
02453,15764,1,1,1,1
02454,15764,1,1,1,1
02458,14454,0.000764234,0,0,0.00065189
02458,15764,0.999235766,1,1,0.99934811
02459,15764,1,1,1,1
02460,15764,1,1,1,1
02461,15764,1,1,1,1
02462,15764,1,1,1,1
02464,15764,1,1,1,1
02465,15764,1,1,1,1
02466,15764,1,1,1,1
02467,14454,0.675453048,0.460382514,0.599439776,0.653409769
02467,15764,0.324546952,0.539617486,0.400560224,0.346590231
02468,15764,1,1,1,1
02471,15764,1,1,1,1
02472,15764,1,1,1,1
02474,15764,1,1,1,1
02476,15764,1,1,1,1
02478,15764,1,1,1,1
02481,14454,1,1,1,1
02482,14454,1,1,1,1
02492,14454,1,1,1,1
02493,15764,1,1,1,1
02494,14454,1,1,1,1
02532,12700,0.797841021,0.975103734,0.920529801,0.813250333
02532,14454,0.202158979,0.024896266,0.079470199,0.186749667
02534,12700,1,0,1,1
02535,47240,1,1,1,1
02536,12700,1,1,1,1
02537,12700,1,1,1,1
02538,14454,1,1,1,1
02539,47240,1,1,1,1
02540,12700,1,1,1,1
02541,12700,1,1,1,1
02542,12700,1,1,1,1
02543,12700,1,1,1,1
02552,47240,0,1,0,1
02553,12700,0,0,1,1
02554,99999,1,1,1,1
02556,12700,1,1,1,1
02557,47240,1,1,1,1
02558,14454,0,0,1,1
02559,12700,1,1,1,1
02561,12700,0,1,1,1
02562,12700,1,1,1,1
02563,12700,1,1,1,1
02564,99999,0,0,1,1
02565,12700,0,0,1,1
02568,47240,1,1,1,1
02571,14454,1,1,1,1
02573,47240,0,0,1,1
02574,12700,1,1,1,1
02575,47240,1,1,1,1
02576,14454,1,1,1,1
02584,99999,1,1,1,1
02601,12700,1,1,1,1
02630,12700,1,1,1,1
02631,12700,1,1,1,1
02632,12700,1,1,1,1
02633,12700,1,1,1,1
02634,12700,1,1,1,1
02635,12700,1,1,1,1
02637,12700,1,1,1,1
02638,12700,1,1,1,1
02639,12700,1,1,1,1
02641,12700,0,0,1,1
02642,12700,1,1,1,1
02643,12700,0,0,1,1
02644,12700,1,1,1,1
02645,12700,1,1,1,1
02646,12700,1,1,1,1
02647,12700,1,1,1,1
02648,12700,1,1,1,1
02649,12700,1,1,1,1
02650,12700,1,1,1,1
02651,12700,0,0,1,1
02652,12700,0,0,1,1
02653,12700,1,1,1,1
02655,12700,1,1,1,1
02657,12700,1,1,1,1
02659,12700,1,1,1,1
02660,12700,1,1,1,1
02661,12700,1,1,1,1
02662,12700,1,1,1,1
02663,12700,0,0,1,1
02664,12700,1,1,1,1
02666,12700,1,0,1,1
02667,12700,1,1,1,1
02668,12700,1,1,1,1
02669,12700,1,1,1,1
02670,12700,1,1,1,1
02671,12700,1,1,1,1
02672,12700,1,1,1,1
02673,12700,1,1,1,1
02675,12700,1,1,1,1
02702,14454,0.001923077,0,0,0.001862197
02702,39300,0.998076923,1,1,0.998137803
02703,39300,1,1,1,1
02712,39300,1,1,1,1
02713,47240,0,0,1,1
02715,39300,1,1,1,1
02717,14454,0.003213712,0.009345794,0,0.003526448
02717,39300,0.996786288,0.990654206,1,0.996473552
02718,39300,1,1,1,1
02719,39300,1,1,1,1
02720,39300,1,1,1,1
02721,39300,1,1,1,1
02722,39300,1,1,1,1
02723,39300,1,1,1,1
02724,39300,1,1,1,1
02725,39300,1,1,1,1
02726,39300,1,1,1,1
02738,14454,1,1,1,1
02739,14454,1,1,1,1
02740,39300,1,1,1,1
02741,39300,1,1,1,1
02742,39300,1,1,1,1
02743,39300,1,1,1,1
02744,39300,1,1,1,1
02745,39300,1,1,1,1
02746,39300,1,1,1,1
02747,39300,1,1,1,1
02748,39300,1,1,1,1
02760,14454,8.86525E-05,0,0,7.75134E-05
02760,39300,0.999911348,1,1,0.999922487
02761,39300,1,1,1,1
02762,14454,1,1,1,1
02763,39300,1,1,1,1
02764,39300,1,1,1,1
02766,39300,1,1,1,1
02767,14454,0.002435369,0,0,0.002068088
02767,39300,0.997564631,1,1,0.997931912
02768,39300,0,0,1,1
02769,39300,1,1,1,1
02770,14454,0.999614792,1,1,0.99963938
02770,39300,0.000385208,0,0,0.00036062
02771,39300,1,1,1,1
02777,39300,1,1,1,1
02779,39300,1,1,1,1
02780,39300,1,1,1,1
02783,14454,0,0,1,1
02790,39300,1,1,1,1
02791,39300,0,0,1,1
02801,39300,0,0,1,1
02802,39300,0,0,1,1
02804,39300,1,1,1,1
02806,39300,1,1,1,1
02807,39300,0,0,1,1
02808,39300,1,1,1,1
02809,39300,1,1,1,1
02812,39300,1,1,1,1
02813,39300,1,1,1,1
02814,39300,1,1,1,1
02815,39300,1,1,1,1
02816,39300,1,1,1,1
02817,39300,1,1,1,1
02818,39300,1,1,1,1
02822,39300,1,1,1,1
02823,39300,0,0,1,1
02824,39300,0,0,1,1
02825,39300,1,1,1,1
02826,39300,1,1,1,1
02827,39300,1,1,1,1
02828,39300,1,1,1,1
02829,39300,0,0,1,1
02830,39300,1,1,1,1
02831,39300,1,1,1,1
02832,39300,1,1,1,1
02833,39300,1,1,1,1
02835,39300,1,1,1,1
02836,39300,1,1,1,1
02837,39300,1,1,1,1
02838,39300,1,1,1,1
02839,39300,1,1,1,1
02840,39300,1,1,1,1
02841,39300,0,1,1,1
02842,39300,1,1,1,1
02852,39300,1,1,1,1
02857,39300,1,1,1,1
02858,39300,1,1,1,1
02859,39300,1,1,1,1
02860,39300,1,1,1,1
02861,39300,1,1,1,1
02862,39300,1,1,1,1
02863,39300,1,1,1,1
02864,39300,1,1,1,1
02865,39300,1,1,1,1
02871,39300,1,1,1,1
02872,39300,1,1,1,1
02873,39300,1,0,1,1
02874,39300,1,1,1,1
02875,39300,1,1,1,1
02876,39300,1,1,1,1
02877,39300,1,1,0,1
02878,39300,1,1,1,1
02879,39300,1,1,1,1
02880,39300,1,1,1,1
02881,39300,1,1,1,1
02882,39300,1,1,1,1
02885,39300,1,1,1,1
02886,39300,1,1,1,1
02887,39300,1,1,1,1
02888,39300,1,1,1,1
02889,39300,1,1,1,1
02891,39300,1,1,1,1
02892,39300,1,1,1,1
02893,39300,1,1,1,1
02894,39300,1,1,1,1
02895,39300,1,1,1,1
02896,39300,1,1,1,1
02898,39300,1,1,1,1
02901,39300,1,1,1,1
02902,39300,0,0,1,1
02903,39300,1,1,1,1
02904,39300,1,1,1,1
02905,39300,1,1,1,1
02906,39300,1,1,1,1
02907,39300,1,1,1,1
02908,39300,1,1,1,1
02909,39300,1,1,1,1
02910,39300,1,1,1,1
02911,39300,1,1,1,1
02912,39300,0,0,1,1
02914,39300,1,1,1,1
02915,39300,1,1,1,1
